S/N,Companies,Market Capitalisation,Currency,,Ticker,Market Cap,Note if Currency is not USD
2,24SevenOffice Group,710211000,USD,,719.F,76538000,EUR
4,"2U, Inc",1005538752,USD,,TWOU,923080000,USD
8,Absolute Software Corp,557000000,CAD,,ABST,426141000,USD
9,Accenture,217317000000,USD,,ACN,213678000000,USD
11,"ACI Worldwide, Inc",3310000000,USD,,ACIW,3179000000,USD
12,"Activision Blizzard, Inc",62638608384,USD,,ATVI,62420000000,USD
17,adesso,1179693184,EUR,,ADN1.DE,1165000000,EUR
20,"Adobe, Inc",216680000000,USD,,ADBE,210593000000,USD
21,Adyen,61991329792,USD,,ADYEY,58307000000,USD
22,"Affirm Holdings, Inc",12500000000,USD,,AFRM,11700000000,USD
25,Afterpay Ltd,13951000000,USD,,AFTPF,13951000000,USD
32,Akamai Technologies Inc,19370000000,USD,,AKAM,19120000000,USD
36,Alibaba Group Holding Ltd,2310000000000,USD,,AHLA.DE,261897000000,EUR
37,"Alight, Inc",5100000000,USD,,ALIT,4719000000,USD
42,Alliance Data Systems Corp,2790000000,USD,,ADS,2837000000,USD
44,Alpha Systems Inc,54380000000,JPY,,AN5.MU,54380000000,JPY
51,Amadeus IT Group,26310000000,EUR,,AMS.MC,25653000000,EUR
52,Amaggi Luxembourg International SARL,0,,,,,
53,Amdocs Ltd,10286300160,USD,,DOX,10196000000,USD
57,Andes Technology Corp,20740000000,TWD,,6533.TW,20742000000,TWD
59,Ansys Inc,27838941184,USD,,ANSS,27104000000,USD
60,Appen Ltd,842710000,AUD,,APPEF,665040000,USD
63,Aptitude Software Group,180572800,GBX,,APTD.L,184765000,GBP
66,Arco Platform Ltd,1220000000,USD,,ARCE,1220000000,USD
69,AsiaInfo Technologies Ltd,12840000000,HKD,,1675.HK,13032000000,HKD
70,Aspen Technology Inc,11090000000,USD,,AZPN,10915000000,USD
71,Aspire Global,516678368,SEK,,ASPIRE.ST,5009000000,SEK
74,Atea,567599000,USD,,ATEA.OL,13782000000,NOK
76,Atlassian Corp,75790213120,USD,,TEAM,71253000000,USD
77,Atos,2520000000,EUR,,ATO.PA,2526000000,EUR
80,Audinate Group Ltd,492600000,AUD,,ASX.AD8,492600000,AUD
82,Autodesk Inc,46535286784,USD,,ADSK,44211000000,USD
85,Automatic Data Processing Inc,99970000000,USD,,ADP,99198000000,USD
87,Avaloq Group,1008480000,USD,,AVALOQ,1008480000,USD
88,Avast,5880000000,GBX,,AVST.L,5873000000,GBP
90,AVEVA Group,7390000000,GBX,,AVV.L,7308000000000,GBP
91,Axway Software,355442816,,,AXW.PA,355750000,EUR
92,Azeus Systems Holdings Ltd,183600000,,,BBW.SI,183600000,SGD
95,BAIOO Family Interactive Ltd,1410000000,,,2110.HK,1413000000,HKD
97,BANDAI NAMCO Holdings Inc,2040000000000,,,7832.T,2023000000000,JPY
98,"Bandwidth, Inc",854550000,,,BAND,820016000,USD
99,Baozun Inc,638220000,,,BZUN,618032000,USD
101,Basware,313695200,,,BAS1V.HE,305022000,EUR
103,Bechtle,6200000000,,,BC8.DE,6100000000,EUR
111,"Benefitfocus, Inc",416280000,,,BNFT,408569000,USD
115,Better Collective,9860264960,,,BETCO.ST,9843000000,SEK
117,"Bilibili, Inc",11590000000,,,BILI,11085000000,USD
119,BIMobject,64242204,,,BIM.ST,658287000,SEK
120,Birlasoft Ltd,134720000000,,,-,-,-
121,Bittium,134720000000,,,BITTI,209.22M,EUR
123,"Black Knight, Inc",10290000000,,,BKI,10.47B,
124,"Blackbaud, Inc",3180000000,,,BLKB,3.11B,
125,BlackBerry Ltd,4090000000,,,BB,3.98B,
127,"BlackLine, Inc",4380000000,,,BL,4.22B,
128,"Block, Inc",78840000000,,,SQ,73.64B,
130,Blue Prism Group,1621207000,,,B11.SG,,
132,"BMC Software, Inc",6580000000,,,,,
133,Bmit Technologies,103830000,,,,,
134,Booking Holdings Inc,93960000000,,,BKNG,90.69B,
135,Booz Allen Hamilton Holding Corp,11700000000,,,BAH,11.73B,
137,Bouvet,7141165056,,,0HDU,7.19B,KR
139,BrainChip Holdings Ltd,1630000000,,,BRN.AX,1641000000,AUD
140,Bravura Solutions Ltd,425950000,,,AU000000BVS9.SG,-,EUR
144,"BTRS Holdings, Inc",1240000000,,,BTRS,1215000000,USD
148,Bytes Technology Group,1197409920,,,BYIT.L,1177000000,GBP
151,Cadence Design Systems Inc,45500000000,,,CDNS,44788000000,USD
160,Cars Inc,957320000,,,CARS,924117000,USD
161,Carsales Ltd,5850000000,,,CAR.AX,5850000000,AUD
162,"Cass Information Systems, Inc",544012224,,,CASS,530145000,USD
163,Catena Media,407124000,,,CTM.ST,3500000000,SEK
164,cBrain,4670641664,,,CBRAIN.CO,4707000000,DKK
170,"Ceridian HCM Holding, Inc",9980000000,,,CDAY,9550000000,USD
171,"CGI, Inc",22380000000,,,GIB,19865000000,USD
174,Chanjet Information Technology Co Ltd,2330000000,,,-,-,-
175,ChannelAdvisor Corp,495140000000,,,ECOM,480526000,USD
176,Chatwork Co,22440000000,,,4448.T,22439000000,JPY
180,China Development Bank Financial Leasing Co,14540000000,,,1606.HK,14539000000,HKD
183,China TransInfo Technology Co,17010210000,,,002373.SZ,17089000000,CNY
185,Cielo,8830000000,,,CIOXY,1702000000,USD
186,Cision Ltd,1500000000,,,-,-,-
187,Citrix Systems Inc,12770000000,,,CTXS,12758000000000,USD
189,Clavister Holding,32267846,,,CLAV.ST,330703000,SEk
192,"Cloudera, Inc",4730000000,,,,,
193,"Cloudflare, Inc",39030000000,,,NET,35383000000,USD
195,CMGE Technology Group Ltd,6420000000,,,,,
196,Coforge Ltd,272100000,,,,,
197,Cognizant Technology Solutions Corp,45530000000,,,CTSH,45425000000,USD
203,Comarch,1550000000,,,CMR.WA,1553000000,PLN
204,CommVault Systems,2994472704,,,CVLT,2870000000,USD
205,Computacenter,3296391936,,,CCC.L,3248000000,GBP
209,Computershare,11537529856,,,CPU.AX,15226000000,AUD
212,Conduent,1057586112,,,CNDT,1060000000,USD
219,CoreLogic Inc,306990000000,,,,,
222,"CoStar Group, Inc",26452813824,,,CSGP,25327000000,USD
224,"Coupa Software, Inc",7850000000,,,COUP,7605000000,USD
225,"Coursera, Inc",3290000000,,,COUR,3139000000,USD
226,Crayon Group Holding,4839108096,,,CRAYN.OL,11858000000,NOK
227,Criteo,1650000000,,,CRTO,1611000000,USD
230,CSAM Health Group,1203528832,,,CSAM.OL,1195000000,NOK
232,CWT International Ltd,0,HKD,,,,
234,CyberArk Software Ltd,0,,,CYBR,6534000000,USD
236,Cyient Ltd,0,,,,,
241,Dassault Systems,0,,,,,
242,Data Respons,0,,,,,
243,Data#3 Ltd,45835149312,,,,,
245,Datagroup,682308928,,,D6H.DE,689341000,EUR
246,Datamatics Global Services Ltd,0,,,DATAMATICS.BO,19427000000,INR
248,Delivery Hero,13155391488,,,DHER.DE,11279000000,EUR
250,Devoteam,0,,,,,
253,Digia,,,,DIGIA.SE,191670000,EUR
254,Digimarc Corp,0,,,DMRC,494340000,USD
261,DKV MOBILITY SERVICES HOLDING,0,,,,,
265,Domain Holdings Australia Ltd,0,,,,,
269,dotDigital Group,352559200,,,DOTD.L,261990000,GBP
273,"Dropbox, Inc",0,,,DBX,8654000000,USD
274,DTS Corp,936222016,,,9862.T,128077000000,JPY
276,"Dun & Bradstreet Holdings, Inc",4186767616,,,DNB,7435000000,USD
277,DXC Technology,7761394176,,,DXC,7371000000,USD
281,eBay Inc,35306622976,,,EBAY,31496000000,USD
283,Econocom Group,672398720,,,ECONB,795.86M,EUR
284,Edenred,12418153472,,,EDEN,11.41B,EUR
287,EHang Holdings Ltd,0,,,EH,670.37M,
289,Electronic Arts Inc,0,,,EA,35.35B,
290,Embracer Group,,,,EMBRAC,87.11B,
291,EML Payments Ltd,0,,,EML,1.08B,AUD
294,Endava,8237917184,,,DAVA,7.04B,
296,Enea,354908832,,,ENEA,4.45B,SEK
301,"EPAM Systems, Inc",0,,,EPAM,15.53B,
303,Equiniti Group,0,,,EQN,670.19M,GBP
304,Esi Group,400226400,,,ESI,412.09M,EUR
305,Esker,1295010944,,,ALESK,1.01B,EUR
306,Etsy Inc,16508154880,,,ETSY,15.61B,
312,Everi Holdings Inc,1894174464,,,EVRI,1.81B,
314,Evertec Inc,0,,,EVTC,2.97B,
317,Exasol,,,,EXL,138.57M,EUR
319,"ExlService Holdings, Inc",0,,,EXLS,4.85B,
320,Expedia Group Inc,0,,,EXPE,28.35B,
323,F-Secure,,,,FSC1V,810.14M,EUR
324,"F5, Inc",13072477184,,,FFIV,12.77B,
325,Fabasoft,,,,FAA,255.75M,EUR
326,FactSet Research Systems Inc,0,,,FDS,16.77B,
327,Fair Isaac Corp,0,,,FICO,11.09B,
331,FD Technologies,745852352,,,FDP,667.84M,
332,FDM Group Holdings,0,,,FDM,1.15B,GBP
333,Fidelity National Information Services Inc,0,,,FIS,62.56B,
335,Fiserv Inc,68228370432,,,FISV,67.40B,
337,Fiverr International Ltd,0,,,FVRR,2.52B,
338,"FLEETCOR Technologies, Inc",0,,,FLT,19.81B,
339,Flexential Corp,0,,,Private Company,,
341,Focus Home Interactive,257918304,,,ALFOC,268.01M,EUR
343,FormPipe Software,,,,FPIP,1.92B,SEK
345,"Forrester Research, Inc",0,,,FORR,1.12B,
346,Fortinet Inc,0,,,FTNT,53.41B,
350,"FriendTimes, Inc",0,,,6820,2.84B,HKD
351,Frontier Developments,519973056,,,FDEV,520.30M,GBX
354,Fujitsu Ltd,0,,,6702,3.90T,JPY
357,Fyber,0,,,FBEN,,
359,G5 Entertainment,185976000,,,G5EN,1.95B,SEK
361,Gaming Innovation Group Inc,0,,,GIG.OL,2.257B,NOK
364,GB Group,1390303488,,,GBG,1.38B,GBX
366,Genpact Ltd,,,,G,8.05B,
367,GFT Technologies,1058301184,,,GFT,1.04B,EUR
370,GK Software,246168960,,,GKS,288.18M,EUR
371,Global Dominion Access,629010304,,,DOM,626.76M,EUR
372,Global Payments Inc,40444149760,,,GPN,38.93B,
373,Globant,10747284480,,,GLOB,10.36B,
374,Glodon Co,0,,,2410,62.95B,CNY
377,GMO Payment Gateway Inc,0,,,3769,943.19B,JPY
378,GoDaddy Inc,0,,,GDDY,14.04B,
379,Gofore,344397504,,,GOFORE,353.52M,EUR
381,GPI,2874753280,,,CPI,2.71B,
382,"Grace Technology, Inc",0,,,,,
387,Groupe Open SAPAR:OPN,0,,,OPN,270.67M,EUR
388,Grupo de Moda Soma SABSP:SOMA3,0,,,SOMA3,11.34B,BRL
396,Happiest Minds Technologies Ltd,0,,,HAPPSTMNDS,161.37B,INR
399,HCL Technologies Ltd,0,,,HCLTECH,3.18T,INR
401,"Health Catalyst, Inc",0,,,HCAT,1.34B,
403,HengTen Networks Group Ltd,0,,,0136,19.21B,HKD
405,Hi Sun Technology Ltd,0,,,0818,2.80B,HKD
408,Hinduja Global Solutions Ltd,0,,,HGS,46.34B,INR
412,home24,213498384,,,H24,216.60M,EUR
415,HubSpot Inc,22452207616,,,HUBS,21.23B,
420,Hyundai Autoever Corp,0,,,307950,3.48T,KRW
423,IAC Interactive Corp,0,,,IAC,8.82B,
424,IAR Systems Group,,,,IAR-B,1.68B,SEK
425,ICT Group,0,,,,,
426,Ideagen,640239808,,,IDEA,637.33M,GBX
427,"Ideanomics, Inc",0,,,IDEX,512.61M,
428,iDreamSky Technology Holdings Ltd,0,,,1119,6.32B,HKD
430,iFAST Corp Ltd,0,,,AIY,1.80B,SGD
431,Iflytek Co Ltd,0,,,002230,107.80B,107.80B
433,IGG Inc,540116992,,,0799,4.38B,HKD
434,Imdex Ltd,0,,,IMD,1.06B,AUD
435,IndiaMART InterMESH Ltd,0,,,INDIAMART,152.50B,IND
436,Indra Sistemas,1606570112,,,IDR,1.65B,EUR
438,Info Edge India Ltd,0,,,NAUKRI,608.63B,INR
441,Infomedia Ltd,0,,,IFM,509.16M,AUD
444,"Information Services International-Dentsu, Ltd",0,,,4812,268.55B,JPY
445,Infosys Ltd,,,,INFY,7.67T,INR
446,Infotel,358659392,,,INF,361.07M,EUR
448,Inke Ltd,,,,3700,3.09B,HKD
453,Integrated Research Ltd,0,,,IRI,144.81M,AUD
455,InterDigital Inc,1935475072,,,IDCC,1.93B,
456,International Business Machines Corp,0,,,IBM,115.91B,
457,International Games System Co Ltd,0,,,,,
459,Intuit Inc,1.40E+11,,,INTU,137.41B,
461,Iomart Group,202036176,,,IOM,195.67M,GBX
464,IRESS Ltd,0,,,IRE,2.21B,AUD
466,Itera,918265408,,,0MQA,,
467,ITOCHU Techno-Solutions Corp,0,,,4739,786.00B,JPY
468,IVU Traffic Technologies,407571968,,,IVU,326.03M,EUR
469,Izertis,185659552,,,IZER,192.43M,EUR
470,Jack Henry & Associates Inc,15085853696,,,JKHY,14.91B,
473,"Joy Spreader Group, Inc",0,,,6988,5.00B,HKD
474,JoyCity Corp,0,,,067000,552.79B,KRW
477,Just Dial Ltd,0,,,JUSTDIAL,67.78B,INR
478,Just Eat Takeaway,,,,TKWY,7.24B,EUR
480,Kahoot!,1471218048,,,KHOTF,1.435B,
481,Kainos Group,3164367360,,,KNOS,1.63B,GBX
482,Kakaku Inc,0,,,2371,573.35B,JPY
483,Kakao Corp,0,,,035720,46.84T,KRW
484,Kakao Games Corp,0,,,293490,6.14T,KRW
485,Kalera,122388928,,,KSLLF,116.653M,
488,Kanematsu Electronics Ltd,0,,,8096,110.81B,JPY
489,Kape Technologies,1323031808,,,KAPE,1.35B,GBX
490,"KE Holdings, Inc",0,,,BEKE,13.47B,
491,Keywords Studios,2593377280,,,KWS,2.01B,GBX
493,Kinaxis Inc,0,,,KXS,4.49B,CAD
495,Kingdee International Software Group Co Ltd,0,,,0268,60.93B,HKD
496,Kingsoft Corp Ltd,0,,,3888,35.15B,HKD
502,KPIT Technologies Ltd,0,,,KPITTECH,167.96B,INR
503,Kps,141221200,,,KPS,418.96M,MYR
504,Kuaishou Technology,45564731392,,,1024,320.77B,HKD
505,Kunlun Tech Co Ltd,0,,,300418,20.97B,CNY
506,L&T Technology Services Ltd,16058196992,,,LTTS,543.47B,INR
507,Lakala Payment Co Ltd,0,,,300773,18.81B,CNY
508,Larsen & Toubro Infotech Limited,34186207232,,,LTI,1.11T,INR
